Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
,,,,,,,,,,,,,,,,,,
630,19.99,7.034120734908137,6.862068965517241,,19.99,630,,,7.034120735,630,,,6.862068966,630,,,,630
,,,,,,,,,,,,,,,,,,
316,59.99,7.436335403726708,1.7739463601532568,,59.99,316,,,7.436335404,316,,,1.77394636,316,,,,316
,,,,,,,,,,,,,,,,,,
194,0,2.6948783371709504,2,,0,194,,,2.694878337,194,,,2.00,194,,,,194
,,,,,,,,,,,,,,,,,,
1166,9.99,9.378266850068776,1.684873949579832,,9.99,1166,,,9.37826685,1166,,,1.68487395,1166,,,,1166
,,,,,,,,,,,,,,,,,,
250,8.99,4.394160583941606,0.421455939,,8.99,250,,,4.394160584,250,,,0.42,250,,,,250
,,,,,,,,,,,,,,,,,,
987,0,17.318021201413426,2.3461538461538463,,0,987,,,17.3180212,987,,,2.346153846,987,,,,987
,,,,,,,,,,,,,,,,,,
1363,19.99,3.433558111860373,4.346938775510204,,19.99,1363,,,3.433558112,1363,,,4.346938776,1363,,,,1363
,,,,,,,,,,,,,,,,,,
109,24.99,4.535059331175836,0.6818181818181818,,24.99,109,,,4.535059331,109,,,0.681818182,109,,,,109
,,,,,,,,,,,,,,,,,,
112,29.99,8.386117136659436,10.482758620689655,,29.99,112,,,8.386117137,112,,,10.48275862,112,,,,112
,,,,,,,,,,,,,,,,,,
2192,59.99,1.9931446747833717,5.532934131736527,,59.99,2192,,,1.993144675,2192,,,5.532934132,2192,,,,2192
,,,,,,,,,,,,,,,,,,
466,0,3.7653846153846153,4,,0,466,,,3.765384615,466,,,4.00,466,,,,466
,,,,,,,,,,,,,,,,,,
384,9.99,7.870860927152318,2.8316326530612246,,9.99,384,,,7.870860927,384,,,2.831632653,384,,,,384
,,,,,,,,,,,,,,,,,,
993,1.49,16.723158242484306,11.00943396226415,,1.49,993,,,16.72315824,993,,,11.00943396,993,,,,993
,,,,,,,,,,,,,,,,,,
302,7.49,17.845371312309258,16.71969696969697,,7.49,302,,,17.84537131,302,,,16.71969697,302,,,,302
,,,,,,,,,,,,,,,,,,
327,12.74,13.571428571428571,0.3831417624521073,,12.74,327,,,13.57142857,327,,,0.383141762,327,,,,327
,,,,,,,,,,,,,,,,,,
1100,29.99,20.32462057335582,12,,29.99,1100,,,20.32462057,1100,,,12.00,1100,,,,1100
,,,,,,,,,,,,,,,,,,
106,34.99,3.0498812351543942,4.785440613,,34.99,106,,,3.049881235,106,,,4.79,106,,,,106
,,,,,,,,,,,,,,,,,,
133,5.84,7.973282442748092,0.7126436781609196,,5.84,133,,,7.973282443,133,,,0.712643678,133,,,,133
,,,,,,,,,,,,,,,,,,
407,0,9.606544293695132,16.17924528301887,,0,407,,,9.606544294,407,,,16.17924528,407,,,,407
,,,,,,,,,,,,,,,,,,
232,39.99,13.217070600632244,19.36398467,,39.99,232,,,13.2170706,232,,,19.36,232,,,,232
,,,,,,,,,,,,,,,,,,
2150,0,2.096244131455399,0.3946360153256705,,0,2150,,,2.096244131,2150,,,0.394636015,2150,,,,2150
,,,,,,,,,,,,,,,,,,
142,14.99,5.569259962049336,0.7857142857142857,,14.99,142,,,5.569259962,142,,,0.785714286,142,,,,142
,,,,,,,,,,,,,,,,,,
203,19.99,4.006060606060606,4.555555555555555,,19.99,203,,,4.006060606,203,,,4.555555556,203,,,,203
,,,,,,,,,,,,,,,,,,
340,49.99,12.603960396039604,1.2988505747126438,,49.99,340,,,12.6039604,340,,,1.298850575,340,,,,340
,,,,,,,,,,,,,,,,,,
148,19.99,4.8467683369644154,2.3377777777777777,,19.99,148,,,4.846768337,148,,,2.337777778,148,,,,148
,,,,,,,,,,,,,,,,,,
349,0,1.4268855823499231,0.3831417624521073,,0,349,,,1.426885582,349,,,0.383141762,349,,,,349
,,,,,,,,,,,,,,,,,,
110,39.99,8.086956522,0.6797385620915033,,39.99,110,,,8.086956522,110,,,0.679738562,110,,,,110
,,,,,,,,,,,,,,,,,,
144,59.99,4.114676173499703,11.609929078014185,,59.99,144,,,4.114676173,144,,,11.60992908,144,,,,144
,,,,,,,,,,,,,,,,,,
156,19.99,17.410112359550563,2,,19.99,156,,,17.41011236,156,,,2.00,156,,,,156
,,,,,,,,,,,,,,,,,,
1569,0,6.067588325652841,0.6628352490421456,,0,1569,,,6.067588326,1569,,,0.662835249,1569,,,,1569
